y,x,x1,x2,x3,x4,x5,x6,x7,x8,x9
68.402973,70,4,1,130,10,5,6,280,25,100% Bran
33.983679,120,3,5,15,2,8,8,135,0,100% Natural Bran
59.425505,70,4,1,260,9,7,5,320,25,All-Bran
93.704912,50,4,0,140,14,8,0,330,25,All-Bran with Extra Fiber
34.384843,110,2,2,200,1,14,8,-1,25,Almond Delight
29.509541,110,2,2,180,1.5,10.5,10,70,25,Apple Cinnamon Cheerios
33.174094,110,2,0,125,1,11,14,30,25,Apple Jacks
37.038562,130,3,2,210,2,18,8,100,25,Basic 4
49.120253,90,2,1,200,4,15,6,125,25,Bran Chex
53.313813,90,3,0,210,5,13,5,190,25,Bran Flakes
18.042851,120,1,2,220,0,12,12,35,25,Cap'n'Crunch
50.764999,110,6,2,290,2,17,1,105,25,Cheerios
19.823573,120,1,3,210,0,13,9,45,25,Cinnamon Toast Crunch
40.400208,110,3,2,140,2,13,7,105,25,Clusters
22.736446,110,1,1,180,0,12,13,55,25,Cocoa Puffs
41.445019,110,2,0,280,0,22,3,25,25,Corn Chex
45.863324,100,2,0,290,1,21,2,35,25,Corn Flakes
35.782791,110,1,0,90,1,13,12,20,25,Corn Pops
22.396513,110,1,1,180,0,12,13,65,25,Count Chocula
40.448772,110,3,3,140,4,10,7,160,25,Cracklin' Oat Bran
64.533816,100,3,0,80,1,21,0,-1,0,Cream of Wheat (Quick)
46.895644,110,2,0,220,1,21,3,30,25,Crispix
36.176196,100,2,1,140,2,11,10,120,25,Crispy Wheat & Raisins
44.330856,100,2,0,190,1,18,5,80,25,Double Chex
32.207582,110,2,1,125,1,11,13,30,25,Froot Loops
31.435973,110,1,0,200,1,14,11,25,25,Frosted Flakes
58.345141,100,3,0,0,3,14,7,100,25,Frosted Mini-Wheats
40.917047,120,3,2,160,5,12,10,200,25,Fruit & Fibre Dates; Walnuts; and Oats
41.015492,120,3,0,240,5,14,12,190,25,Fruitful Bran
28.025765,110,1,1,135,0,13,12,25,25,Fruity Pebbles
35.252444,100,2,0,45,0,11,15,40,25,Golden Crisp
23.804043,110,1,1,280,0,15,9,45,25,Golden Grahams
52.076897,100,3,1,140,3,15,5,85,25,Grape Nuts Flakes
53.371007,110,3,0,170,3,17,3,90,25,Grape-Nuts
45.811716,120,3,3,75,3,13,4,100,25,Great Grains Pecan
21.871292,120,1,2,220,1,12,11,45,25,Honey Graham Ohs
31.072217,110,3,1,250,1.5,11.5,10,90,25,Honey Nut Cheerios
28.742414,110,1,0,180,0,14,11,35,25,Honey-comb
36.523683,110,2,1,170,1,17,6,60,100,Just Right Crunchy  Nuggets
36.471512,140,3,1,170,2,20,9,95,100,Just Right Fruit & Nut
39.241114,110,2,1,260,0,21,3,40,25,Kix
45.328074,100,4,2,150,2,12,6,95,25,Life
26.734515,110,2,1,180,0,12,12,55,25,Lucky Charms
54.850917,100,4,1,0,0,16,3,95,25,Maypo
37.136863,150,4,3,95,3,16,11,170,25,Muesli Raisins; Dates; & Almonds
34.139765,150,4,3,150,3,16,11,170,25,Muesli Raisins; Peaches; & Pecans
30.313351,160,3,2,150,3,17,13,160,25,Mueslix Crispy Blend
40.105965,100,2,1,220,2,15,6,90,25,Multi-Grain Cheerios
29.924285,120,2,1,190,0,15,9,40,25,Nut&Honey Crunch
40.692320,140,3,2,220,3,21,7,130,25,Nutri-Grain Almond-Raisin
59.642837,90,3,0,170,3,18,2,90,25,Nutri-grain Wheat
30.450843,130,3,2,170,1.5,13.5,10,120,25,Oatmeal Raisin Crisp
37.840594,120,3,1,200,6,11,14,260,25,Post Nat. Raisin Bran
41.503540,100,3,0,320,1,20,3,45,100,Product 19
60.756112,50,1,0,0,0,13,0,15,0,Puffed Rice
63.005645,50,2,0,0,1,10,0,50,0,Puffed Wheat
49.511874,100,4,1,135,2,14,6,110,25,Quaker Oat Squares
50.828392,100,5,2,0,2.7,-1,-1,110,0,Quaker Oatmeal
39.259197,120,3,1,210,5,14,12,240,25,Raisin Bran
39.703400,100,3,2,140,2.5,10.5,8,140,25,Raisin Nut Bran
55.333142,90,2,0,0,2,15,6,110,25,Raisin Squares
41.998933,110,1,0,240,0,23,2,30,25,Rice Chex
40.560159,110,2,0,290,0,22,3,35,25,Rice Krispies
68.235885,80,2,0,0,3,16,0,95,0,Shredded Wheat
74.472949,90,3,0,0,4,19,0,140,0,Shredded Wheat 'n'Bran
72.801787,90,3,0,0,3,20,0,120,0,Shredded Wheat spoon size
31.230054,110,2,1,70,1,9,15,40,25,Smacks
53.131324,110,6,0,230,1,16,3,55,25,Special K
59.363993,90,2,0,15,3,15,5,90,25,Strawberry Fruit Wheats
38.839746,110,2,1,200,0,21,3,35,100,Total Corn Flakes
28.592785,140,3,1,190,4,15,14,230,100,Total Raisin Bran
46.658844,100,3,1,200,3,16,3,110,100,Total Whole Grain
39.106174,110,2,1,250,0,21,3,60,25,Triples
27.753301,110,1,1,140,0,13,12,25,25,Trix
49.787445,100,3,1,230,3,17,3,115,25,Wheat Chex
51.592193,100,3,1,200,3,17,3,110,25,Wheaties
36.187559,110,2,1,200,1,16,8,60,25,Wheaties Honey Gold
