,County,Median Sale Price,Average Sale Price
0,Fairfield,369587.11,607031.57
1,Fairfield,351716.13,612695.88
2,Fairfield,375670.85,581427.5
3,Fairfield,372628.98,579640.9
4,Fairfield,401488.72,576070.59
5,Fairfield,425861.69,646902.06
6,Fairfield,433466.37,656288.16
7,Fairfield,447915.25,685425.69
8,Fairfield,392401.13,575305.87
9,Fairfield,372628.98,537846.34
10,Fairfield,392401.13,537594.82
11,Fairfield,387838.33,594397.7
12,Fairfield,404202.61,594532.36
13,Fairfield,372764.63,567337.61
14,Fairfield,414681.94,642277.94
15,Fairfield,419173.08,599222.41
16,Fairfield,449114.01,695586.54
17,Fairfield,525313.69,755213.38
18,Fairfield,501510.64,777741.88
19,Fairfield,507498.83,707006.24
20,Fairfield,434143.54,653868.29
21,Fairfield,456599.24,626522.9
22,Fairfield,434143.54,636673.26
23,Fairfield,449114.01,611780.51
24,Fairfield,414878.83,639164.66
25,Fairfield,419634.94,579180.81
26,Fairfield,424391.04,578292.01
27,Fairfield,452854.51,620446.11
28,Fairfield,475610.65,677092.17
29,Fairfield,511464.38,707819.02
30,Fairfield,519513.17,751605.06
31,Fairfield,522440.01,788279.38
32,Fairfield,490244.83,698331.78
33,Fairfield,468293.57,683481.67
34,Fairfield,460976.48,693384.49
35,Fairfield,497561.91,705927.53
36,Fairfield,484633.95,748186.84
37,Fairfield,468241.92,733853.1
38,Fairfield,477506.98,704415.71
39,Fairfield,523119.59,825339.99
40,Fairfield,529533.86,828415.95
41,Fairfield,563030.62,853965.69
42,Fairfield,611494.01,869713.85
43,Fairfield,605792.44,901881.44
44,Fairfield,569088.54,836041.39
45,Fairfield,524544.98,785055.65
46,Fairfield,534522.74,788870.7
47,Fairfield,535948.13,783016.19
48,Fairfield,524012.35,813386.43
49,Fairfield,510222.55,850003.52
50,Fairfield,551591.94,816305.9
51,Fairfield,566760.72,823840.15
52,Fairfield,592961.34,862590.31
53,Fairfield,613646.04,930017.32
54,Fairfield,648120.53,940906.71
55,Fairfield,634330.73,997201.22
56,Fairfield,586066.44,885310.4
57,Fairfield,565381.74,845322.38
58,Fairfield,561934.29,831837.13
59,Fairfield,589513.89,886925.13
60,Fairfield,547733.28,852276.68
61,Fairfield,544393.45,839108.38
62,Fairfield,547733.28,850283.84
63,Fairfield,534373.94,844034.36
64,Fairfield,568440.27,885688.21
65,Fairfield,621209.7,952679.9
66,Fairfield,614530.03,925199.75
67,Fairfield,594491.0,890541.1
68,Fairfield,534373.94,799763.49
69,Fairfield,547733.28,772572.55
70,Fairfield,545061.42,777565.43
71,Fairfield,527694.26,842919.86
72,Fairfield,532449.07,914414.92
73,Fairfield,540241.0,831894.31
74,Fairfield,538942.35,902993.79
75,Fairfield,573356.74,919020.94
76,Fairfield,589265.28,967900.81
77,Fairfield,642834.85,1015354.95
78,Fairfield,649328.13,1038228.9
79,Fairfield,616861.72,951441.69
80,Fairfield,519462.5,857298.0
81,Fairfield,532449.07,800830.83
82,Fairfield,555824.88,940733.09
83,Fairfield,519462.5,818244.84
84,Fairfield,456590.81,691181.93
85,Fairfield,494118.82,810082.97
86,Fairfield,475354.81,778835.59
87,Fairfield,487864.15,819838.68
88,Fairfield,520388.43,822284.23
89,Fairfield,541028.83,873444.45
90,Fairfield,631721.53,899512.19
91,Fairfield,547908.97,902791.39
92,Fairfield,481609.48,710055.7
93,Fairfield,481609.48,676517.47
94,Fairfield,431572.13,633807.45
95,Fairfield,404364.33,589487.45
96,Fairfield,388580.84,579601.56
97,Fairfield,376486.22,561744.42
98,Fairfield,396565.48,645073.37
99,Fairfield,420409.61,606819.23
100,Fairfield,426684.38,629227.74
101,Fairfield,489432.08,716256.82
102,Fairfield,519550.98,801727.33
103,Fairfield,501981.62,767939.19
104,Fairfield,432959.15,706778.48
105,Fairfield,439233.92,719070.9
106,Fairfield,420409.61,630183.43
107,Fairfield,451783.46,689286.0
108,Fairfield,463029.97,726886.56
109,Fairfield,370423.97,598628.66
110,Fairfield,432161.3,659248.68
111,Fairfield,450682.5,745788.89
112,Fairfield,453151.99,716001.14
113,Fairfield,503776.6,761876.98
114,Fairfield,586504.62,940147.26
115,Fairfield,524767.29,818198.61
116,Fairfield,456856.23,756987.71
117,Fairfield,454386.74,708417.54
118,Fairfield,456856.23,684248.46
119,Fairfield,438335.03,771702.44
120,Fairfield,439956.27,747651.32
121,Fairfield,389076.97,680704.53
122,Fairfield,416611.65,669203.91
123,Fairfield,448934.97,771472.65
124,Fairfield,474075.33,852946.58
125,Fairfield,532736.16,864335.78
126,Fairfield,502388.16,748832.49
