Date,Median Sale Price,Average Sale Price,County
01/01/2001 12:00:00 AM,369587.11,607031.57,Fairfield
02/01/2001 12:00:00 AM,351716.13,612695.88,Fairfield
03/01/2001 12:00:00 AM,375670.85,581427.50,Fairfield
04/01/2001 12:00:00 AM,372628.98,579640.90,Fairfield
05/01/2001 12:00:00 AM,401488.72,576070.59,Fairfield
06/01/2001 12:00:00 AM,425861.69,646902.06,Fairfield
07/01/2001 12:00:00 AM,433466.37,656288.16,Fairfield
08/01/2001 12:00:00 AM,447915.25,685425.69,Fairfield
09/01/2001 12:00:00 AM,392401.13,575305.87,Fairfield
10/01/2001 12:00:00 AM,372628.98,537846.34,Fairfield
11/01/2001 12:00:00 AM,392401.13,537594.82,Fairfield
12/01/2001 12:00:00 AM,387838.33,594397.70,Fairfield
01/01/2002 12:00:00 AM,404202.61,594532.36,Fairfield
02/01/2002 12:00:00 AM,372764.63,567337.61,Fairfield
03/01/2002 12:00:00 AM,414681.94,642277.94,Fairfield
04/01/2002 12:00:00 AM,419173.08,599222.41,Fairfield
05/01/2002 12:00:00 AM,449114.01,695586.54,Fairfield
06/01/2002 12:00:00 AM,525313.69,755213.38,Fairfield
07/01/2002 12:00:00 AM,501510.64,777741.88,Fairfield
08/01/2002 12:00:00 AM,507498.83,707006.24,Fairfield
09/01/2002 12:00:00 AM,434143.54,653868.29,Fairfield
10/01/2002 12:00:00 AM,456599.24,626522.90,Fairfield
11/01/2002 12:00:00 AM,434143.54,636673.26,Fairfield
12/01/2002 12:00:00 AM,449114.01,611780.51,Fairfield
01/01/2003 12:00:00 AM,414878.83,639164.66,Fairfield
02/01/2003 12:00:00 AM,419634.94,579180.81,Fairfield
03/01/2003 12:00:00 AM,424391.04,578292.01,Fairfield
04/01/2003 12:00:00 AM,452854.51,620446.11,Fairfield
05/01/2003 12:00:00 AM,475610.65,677092.17,Fairfield
06/01/2003 12:00:00 AM,511464.38,707819.02,Fairfield
07/01/2003 12:00:00 AM,519513.17,751605.06,Fairfield
08/01/2003 12:00:00 AM,522440.01,788279.38,Fairfield
09/01/2003 12:00:00 AM,490244.83,698331.78,Fairfield
10/01/2003 12:00:00 AM,468293.57,683481.67,Fairfield
11/01/2003 12:00:00 AM,460976.48,693384.49,Fairfield
12/01/2003 12:00:00 AM,497561.91,705927.53,Fairfield
01/01/2004 12:00:00 AM,484633.95,748186.84,Fairfield
02/01/2004 12:00:00 AM,468241.92,733853.10,Fairfield
03/01/2004 12:00:00 AM,477506.98,704415.71,Fairfield
04/01/2004 12:00:00 AM,523119.59,825339.99,Fairfield
05/01/2004 12:00:00 AM,529533.86,828415.95,Fairfield
06/01/2004 12:00:00 AM,563030.62,853965.69,Fairfield
07/01/2004 12:00:00 AM,611494.01,869713.85,Fairfield
08/01/2004 12:00:00 AM,605792.44,901881.44,Fairfield
09/01/2004 12:00:00 AM,569088.54,836041.39,Fairfield
10/01/2004 12:00:00 AM,524544.98,785055.65,Fairfield
11/01/2004 12:00:00 AM,534522.74,788870.70,Fairfield
12/01/2004 12:00:00 AM,535948.13,783016.19,Fairfield
01/01/2005 12:00:00 AM,524012.35,813386.43,Fairfield
02/01/2005 12:00:00 AM,510222.55,850003.52,Fairfield
03/01/2005 12:00:00 AM,551591.94,816305.90,Fairfield
04/01/2005 12:00:00 AM,566760.72,823840.15,Fairfield
05/01/2005 12:00:00 AM,592961.34,862590.31,Fairfield
06/01/2005 12:00:00 AM,613646.04,930017.32,Fairfield
07/01/2005 12:00:00 AM,648120.53,940906.71,Fairfield
08/01/2005 12:00:00 AM,634330.73,997201.22,Fairfield
09/01/2005 12:00:00 AM,586066.44,885310.40,Fairfield
10/01/2005 12:00:00 AM,565381.74,845322.38,Fairfield
11/01/2005 12:00:00 AM,561934.29,831837.13,Fairfield
12/01/2005 12:00:00 AM,589513.89,886925.13,Fairfield
01/01/2006 12:00:00 AM,547733.28,852276.68,Fairfield
02/01/2006 12:00:00 AM,544393.45,839108.38,Fairfield
03/01/2006 12:00:00 AM,547733.28,850283.84,Fairfield
04/01/2006 12:00:00 AM,534373.94,844034.36,Fairfield
05/01/2006 12:00:00 AM,568440.27,885688.21,Fairfield
06/01/2006 12:00:00 AM,621209.70,952679.90,Fairfield
07/01/2006 12:00:00 AM,614530.03,925199.75,Fairfield
08/01/2006 12:00:00 AM,594491.00,890541.10,Fairfield
09/01/2006 12:00:00 AM,534373.94,799763.49,Fairfield
10/01/2006 12:00:00 AM,547733.28,772572.55,Fairfield
11/01/2006 12:00:00 AM,545061.42,777565.43,Fairfield
12/01/2006 12:00:00 AM,527694.26,842919.86,Fairfield
01/01/2007 12:00:00 AM,532449.07,914414.92,Fairfield
02/01/2007 12:00:00 AM,540241.00,831894.31,Fairfield
