y,x,x1,x2
Fairfield,369587.11,607031.57,1/1/01
Fairfield,351716.13,612695.88,2/1/01
Fairfield,375670.85,581427.5,3/1/01
Fairfield,372628.98,579640.9,4/1/01
Fairfield,401488.72,576070.59,5/1/01
Fairfield,425861.69,646902.06,6/1/01
Fairfield,433466.37,656288.16,7/1/01
Fairfield,447915.25,685425.69,8/1/01
Fairfield,392401.13,575305.87,9/1/01
Fairfield,372628.98,537846.34,10/1/01
Fairfield,392401.13,537594.82,11/1/01
Fairfield,387838.33,594397.7,12/1/01
Fairfield,404202.61,594532.36,1/1/02
Fairfield,372764.63,567337.61,2/1/02
Fairfield,414681.94,642277.94,3/1/02
Fairfield,419173.08,599222.41,4/1/02
Fairfield,449114.01,695586.54,5/1/02
Fairfield,525313.69,755213.38,6/1/02
Fairfield,501510.64,777741.88,7/1/02
Fairfield,507498.83,707006.24,8/1/02
Fairfield,434143.54,653868.29,9/1/02
Fairfield,456599.24,626522.9,10/1/02
Fairfield,434143.54,636673.26,11/1/02
Fairfield,449114.01,611780.51,12/1/02
Fairfield,414878.83,639164.66,1/1/03
Fairfield,419634.94,579180.81,2/1/03
Fairfield,424391.04,578292.01,3/1/03
Fairfield,452854.51,620446.11,4/1/03
Fairfield,475610.65,677092.17,5/1/03
Fairfield,511464.38,707819.02,6/1/03
Fairfield,519513.17,751605.06,7/1/03
Fairfield,522440.01,788279.38,8/1/03
Fairfield,490244.83,698331.78,9/1/03
Fairfield,468293.57,683481.67,10/1/03
Fairfield,460976.48,693384.49,11/1/03
Fairfield,497561.91,705927.53,12/1/03
Fairfield,484633.95,748186.84,1/1/04
Fairfield,468241.92,733853.1,2/1/04
Fairfield,477506.98,704415.71,3/1/04
Fairfield,523119.59,825339.99,4/1/04
Fairfield,529533.86,828415.95,5/1/04
Fairfield,563030.62,853965.69,6/1/04
Fairfield,611494.01,869713.85,7/1/04
Fairfield,605792.44,901881.44,8/1/04
Fairfield,569088.54,836041.39,9/1/04
Fairfield,524544.98,785055.65,10/1/04
Fairfield,534522.74,788870.7,11/1/04
Fairfield,535948.13,783016.19,12/1/04
Fairfield,524012.35,813386.43,1/1/05
Fairfield,510222.55,850003.52,2/1/05
Fairfield,551591.94,816305.9,3/1/05
Fairfield,566760.72,823840.15,4/1/05
Fairfield,592961.34,862590.31,5/1/05
Fairfield,613646.04,930017.32,6/1/05
Fairfield,648120.53,940906.71,7/1/05
Fairfield,634330.73,997201.22,8/1/05
Fairfield,586066.44,885310.4,9/1/05
Fairfield,565381.74,845322.38,10/1/05
Fairfield,561934.29,831837.13,11/1/05
Fairfield,589513.89,886925.13,12/1/05
Fairfield,547733.28,852276.68,1/1/06
Fairfield,544393.45,839108.38,2/1/06
Fairfield,547733.28,850283.84,3/1/06
Fairfield,534373.94,844034.36,4/1/06
Fairfield,568440.27,885688.21,5/1/06
Fairfield,621209.7,952679.9,6/1/06
Fairfield,614530.03,925199.75,7/1/06
Fairfield,594491,890541.1,8/1/06
Fairfield,534373.94,799763.49,9/1/06
Fairfield,547733.28,772572.55,10/1/06
Fairfield,545061.42,777565.43,11/1/06
Fairfield,527694.26,842919.86,12/1/06
Fairfield,532449.07,914414.92,1/1/07
Fairfield,540241,831894.31,2/1/07
Fairfield,538942.35,902993.79,3/1/07
Fairfield,573356.74,919020.94,4/1/07
Fairfield,589265.28,967900.81,5/1/07
Fairfield,642834.85,1015354.95,6/1/07
Fairfield,649328.13,1038228.9,7/1/07
Fairfield,616861.72,951441.69,8/1/07
Fairfield,519462.5,857298,9/1/07
Fairfield,532449.07,800830.83,10/1/07
Fairfield,555824.88,940733.09,11/1/07
Fairfield,519462.5,818244.84,12/1/07
Fairfield,456590.81,691181.93,1/1/08
Fairfield,494118.82,810082.97,2/1/08
Fairfield,475354.81,778835.59,3/1/08
Fairfield,487864.15,819838.68,4/1/08
Fairfield,520388.43,822284.23,5/1/08
Fairfield,541028.83,873444.45,6/1/08
Fairfield,631721.53,899512.19,7/1/08
Fairfield,547908.97,902791.39,8/1/08
Fairfield,481609.48,710055.7,9/1/08
