y,x,x1,x2
Fairfield,369587.11,607031.57,2001-01-01
Fairfield,351716.13,612695.88,2001-02-01
Fairfield,375670.85,581427.5,2001-03-01
Fairfield,372628.98,579640.9,2001-04-01
Fairfield,401488.72,576070.59,2001-05-01
Fairfield,425861.69,646902.06,2001-06-01
Fairfield,433466.37,656288.16,2001-07-01
Fairfield,447915.25,685425.69,2001-08-01
Fairfield,392401.13,575305.87,2001-09-01
Fairfield,372628.98,537846.34,2001-10-01
Fairfield,392401.13,537594.82,2001-11-01
Fairfield,387838.33,594397.7,2001-12-01
Fairfield,404202.61,594532.36,2002-01-01
Fairfield,372764.63,567337.61,2002-02-01
Fairfield,414681.94,642277.94,2002-03-01
Fairfield,419173.08,599222.41,2002-04-01
Fairfield,449114.01,695586.54,2002-05-01
Fairfield,525313.69,755213.38,2002-06-01
Fairfield,501510.64,777741.88,2002-07-01
Fairfield,507498.83,707006.24,2002-08-01
Fairfield,434143.54,653868.29,2002-09-01
Fairfield,456599.24,626522.9,2002-10-01
Fairfield,434143.54,636673.26,2002-11-01
Fairfield,449114.01,611780.51,2002-12-01
Fairfield,414878.83,639164.66,2003-01-01
Fairfield,419634.94,579180.81,2003-02-01
Fairfield,424391.04,578292.01,2003-03-01
Fairfield,452854.51,620446.11,2003-04-01
Fairfield,475610.65,677092.17,2003-05-01
Fairfield,511464.38,707819.02,2003-06-01
Fairfield,519513.17,751605.06,2003-07-01
Fairfield,522440.01,788279.38,2003-08-01
Fairfield,490244.83,698331.78,2003-09-01
Fairfield,468293.57,683481.67,2003-10-01
Fairfield,460976.48,693384.49,2003-11-01
Fairfield,497561.91,705927.53,2003-12-01
Fairfield,484633.95,748186.84,2004-01-01
Fairfield,468241.92,733853.1,2004-02-01
Fairfield,477506.98,704415.71,2004-03-01
Fairfield,523119.59,825339.99,2004-04-01
Fairfield,529533.86,828415.95,2004-05-01
Fairfield,563030.62,853965.69,2004-06-01
Fairfield,611494.01,869713.85,2004-07-01
Fairfield,605792.44,901881.44,2004-08-01
Fairfield,569088.54,836041.39,2004-09-01
Fairfield,524544.98,785055.65,2004-10-01
Fairfield,534522.74,788870.7,2004-11-01
Fairfield,535948.13,783016.19,2004-12-01
Fairfield,524012.35,813386.43,2005-01-01
Fairfield,510222.55,850003.52,2005-02-01
Fairfield,551591.94,816305.9,2005-03-01
Fairfield,566760.72,823840.15,2005-04-01
Fairfield,592961.34,862590.31,2005-05-01
Fairfield,613646.04,930017.32,2005-06-01
Fairfield,648120.53,940906.71,2005-07-01
Fairfield,634330.73,997201.22,2005-08-01
Fairfield,586066.44,885310.4,2005-09-01
Fairfield,565381.74,845322.38,2005-10-01
Fairfield,561934.29,831837.13,2005-11-01
Fairfield,589513.89,886925.13,2005-12-01
Fairfield,547733.28,852276.68,2006-01-01
Fairfield,544393.45,839108.38,2006-02-01
Fairfield,547733.28,850283.84,2006-03-01
Fairfield,534373.94,844034.36,2006-04-01
Fairfield,568440.27,885688.21,2006-05-01
Fairfield,621209.7,952679.9,2006-06-01
Fairfield,614530.03,925199.75,2006-07-01
Fairfield,594491.0,890541.1,2006-08-01
Fairfield,534373.94,799763.49,2006-09-01
Fairfield,547733.28,772572.55,2006-10-01
Fairfield,545061.42,777565.43,2006-11-01
Fairfield,527694.26,842919.86,2006-12-01
Fairfield,532449.07,914414.92,2007-01-01
Fairfield,540241.0,831894.31,2007-02-01
Fairfield,538942.35,902993.79,2007-03-01
Fairfield,573356.74,919020.94,2007-04-01
Fairfield,589265.28,967900.81,2007-05-01
Fairfield,642834.85,1015354.95,2007-06-01
Fairfield,649328.13,1038228.9,2007-07-01
Fairfield,616861.72,951441.69,2007-08-01
Fairfield,519462.5,857298.0,2007-09-01
Fairfield,532449.07,800830.83,2007-10-01
Fairfield,555824.88,940733.09,2007-11-01
Fairfield,519462.5,818244.84,2007-12-01
Fairfield,456590.81,691181.93,2008-01-01
Fairfield,494118.82,810082.97,2008-02-01
Fairfield,475354.81,778835.59,2008-03-01
Fairfield,487864.15,819838.68,2008-04-01
Fairfield,520388.43,822284.23,2008-05-01
Fairfield,541028.83,873444.45,2008-06-01
Fairfield,631721.53,899512.19,2008-07-01
Fairfield,547908.97,902791.39,2008-08-01
Fairfield,481609.48,710055.7,2008-09-01
Fairfield,481609.48,676517.47,2008-10-01
Fairfield,431572.13,633807.45,2008-11-01
Fairfield,404364.33,589487.45,2008-12-01
Fairfield,388580.84,579601.56,2009-01-01
Fairfield,376486.22,561744.42,2009-02-01
Fairfield,396565.48,645073.37,2009-03-01
Fairfield,420409.61,606819.23,2009-04-01
Fairfield,426684.38,629227.74,2009-05-01
Fairfield,489432.08,716256.82,2009-06-01
Fairfield,519550.98,801727.33,2009-07-01
Fairfield,501981.62,767939.19,2009-08-01
Fairfield,432959.15,706778.48,2009-09-01
Fairfield,439233.92,719070.9,2009-10-01
Fairfield,420409.61,630183.43,2009-11-01
Fairfield,451783.46,689286.0,2009-12-01
Fairfield,463029.97,726886.56,2010-01-01
Fairfield,370423.97,598628.66,2010-02-01
Fairfield,432161.3,659248.68,2010-03-01
Fairfield,450682.5,745788.89,2010-04-01
Fairfield,453151.99,716001.14,2010-05-01
