"CountryCode","SeriesCode","DESCRIPTION",
"ABW","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ABW","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ABW","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ABW","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AFG","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"AFG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"AFG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AFG","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AGO","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"AGO","SM.POP.NETM","Data source: United Nations World Population Prospects",
"AGO","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"AGO","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ALB","SP.POP.TOTL","Data source: Institute of Statistics, Eurostat",
"ALB","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ALB","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ALB","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ALB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"AND","SP.POP.GROW","Data source: United Nations World Population Prospects",
"AND","SP.DYN.CDRT.IN","Data source: Eurostat",
"AND","SP.DYN.CBRT.IN","Data source: Eurostat",
"AND","SP.DYN.TFRT.IN","Data source: Eurostat",
"AND","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARE","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARE","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARE","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARE","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARG","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARG","SP.POP.GROW","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARG","SP.POP.TOTL","Data source: National Institute of Statistics and Censuses, United Nations World Population Prospects",
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
