Y,X,X1,X2,X3,X4,X5
Afghanistan,64.833,60.484,55.376,49.64,42.585,36.9
Albania,78.573,76.221,73.587,71.86,69.991,66.689
Algeria,76.88,74.644,70.183,66.554,56.909,49.982
Angola,61.147,54.311,46.093,45.324,43.931,40.546
Antigua and Barbuda,77.016,75.683,73.705,71.267,68.154,65.616
Argentina,76.667,75.116,73.396,71.384,69.197,66.219
Armenia,75.087,73.118,70.944,68.038,70.897,69.809
Aruba,76.293,74.872,73.738,73.425,72.023,68.784
Australia,82.9,81.54390244,78.93170732,76.71365854,74.00390244,70.96878049
Austria,81.79268293,80.33170732,77.87560976,75.26585366,72.31219512,69.83317073
Azerbaijan,73.005,70.597,66.491,64.935,64.069,62.953
"Bahamas, The",73.918,72.067,71.858,69.854,67.372,65.73
Bahrain,77.292,75.913,74.239,72.178,69.117,62.56
Bangladesh,72.591,69.485,64.881,57.571,52.277,47.432
Barbados,79.19,78.272,76.933,74.534,71.8,68.421
Belarus,74.22682927,70.40731707,67.90731707,71.48292683,69.84163415,70.04514634
Belgium,81.74634146,80.03414634,77.6195122,75.63268293,73.19365854,70.76487805
Belize,74.623,71.541,68.734,71.386,69.229,65.058
Benin,61.771,59.009,55.218,53.132,46.764,41.63
Bhutan,71.777,67.882,59.974,52.122,44.751,39.057
Bolivia,71.513,67.476,61.835,55.486,49.824,45.147
Bosnia and Herzegovina,77.401,75.844,74.05,71.184,70.193,65.621
Botswana,69.592,58.447,51.214,60.016,58.692,53.346
Brazil,75.881,73.3,69.769,65.947,62.286,58.475
Brunei Darussalam,75.86,74.623,72.538,69.935,67.031,62.013
Bulgaria,74.91463415,73.41219512,71.41219512,71.72243902,71.30829268,70.43
Burkina Faso,61.577,56.377,50.168,49.505,45.06,38.652
Burundi,61.584,56.488,48.339,48.08,46.608,43.685
Cabo Verde,72.981,70.911,68.041,64.349,60.941,52.698
Cambodia,69.823,66.014,57.604,53.302,22.744,42.369
Cameroon,59.292,54.627,50.878,53.536,51.123,46.008
Canada,82.04878049,80.99512195,78.88536585,77.1195122,74.86634146,72.50146341
Central African Republic,53.283,46.719,44.461,49.397,48.737,41.444
Chad,54.239,50.346,47.657,46.91,44.521,40.878
Channel Islands,83.086,81.268,78.742,75.192,73.208,71.726
Chile,80.181,78.558,76.092,73.198,68.378,61.637
China,76.912,74.119,71.063,69.054,66.377,57.603
Colombia,77.287,75.193,72.619,69.591,66.451,61.675
Comoros,64.321,61.475,59.388,56.154,49.992,45.179
"Congo, Dem. Rep.",60.681,56.35,49.557,48.787,46.086,43.563
"Congo, Rep.",64.57,59.321,51.925,54.917,53.927,50.313
Costa Rica,80.279,78.626,77.293,75.456,71.501,65.339
Cote d'Ivoire,57.783,52.313,49.891,53.35,50.579,43.276
Croatia,78.42439024,76.16829268,72.64195122,71.84463415,70.42731707,67.88136585
Cuba,78.802,78.256,76.475,74.615,73.543,69.29
Cyprus,80.982,79.245,77.875,76.394,74.592,72.318
Czech Republic,79.12926829,77.07804878,74.66829268,71.67560976,70.7495122,69.36707317
Denmark,81.20243902,78.59756098,76.34146341,74.7997561,74.21926829,73.22097561
Djibouti,67.112,59.561,56.992,56.488,53.241,48.476
Dominican Republic,74.081,71.806,69.175,66.201,62.477,57.498
Ecuador,77.01,74.895,72.425,68.431,62.942,57.69
"Egypt, Arab Rep.",71.99,70.159,68.357,64.143,57.659,51.865
El Salvador,73.317,70.978,68.581,63.05,56.248,54.628
Equatorial Guinea,58.735,55.329,52.93,48.36,43.435,39.525
Eritrea,66.321,61.602,54.707,49.192,46.364,42.773
Estonia,78.49756098,74.82439024,70.06341463,70.03902439,68.93858537,69.92809756
Eswatini,60.194,45.275,49.424,61.885,54.795,47.508
Ethiopia,66.597,60.645,51.366,46.667,43.881,42.659
Fiji,67.444,66.559,65.512,65.391,63.776,62.481
Finland,81.78536585,79.7195122,77.29121951,74.79219512,73.15536585,69.50341463
