y,x
Afghanistan,64.833
Albania,78.573
Algeria,76.88
Angola,61.147
Antigua and Barbuda,77.016
Argentina,76.667
Armenia,75.087
Aruba,76.293
Australia,82.9
Austria,81.79268293
Azerbaijan,73.005
"Bahamas, The",73.918
Bahrain,77.292
Bangladesh,72.591
Barbados,79.19
Belarus,74.22682927
Belgium,81.74634146
Belize,74.623
Benin,61.771
Bhutan,71.777
Bolivia,71.513
Bosnia and Herzegovina,77.401
Botswana,69.592
Brazil,75.881
Brunei Darussalam,75.86
Bulgaria,74.91463415
Burkina Faso,61.577
Burundi,61.584
Cabo Verde,72.981
Cambodia,69.823
Cameroon,59.292
Canada,82.04878049
Central African Republic,53.283
Chad,54.239
Channel Islands,83.086
Chile,80.181
China,76.912
Colombia,77.287
Comoros,64.321
"Congo, Dem. Rep.",60.681
"Congo, Rep.",64.57
Costa Rica,80.279
Cote d'Ivoire,57.783
Croatia,78.42439024
Cuba,78.802
Cyprus,80.982
Czech Republic,79.12926829
Denmark,81.20243902
Djibouti,67.112
Dominican Republic,74.081
Ecuador,77.01
"Egypt, Arab Rep.",71.99
El Salvador,73.317
Equatorial Guinea,58.735
Eritrea,66.321
Estonia,78.49756098
Eswatini,60.194
Ethiopia,66.597
Fiji,67.444
Finland,81.78536585
France,82.57804878
French Polynesia,77.657
Gabon,66.467
"Gambia, The",62.05
Georgia,73.767
Germany,80.94146341
Ghana,64.074
Greece,81.93902439
Grenada,72.397
Guam,80.074
Guatemala,74.302
Guinea,61.602
Guinea-Bissau,58.322
Guyana,69.906
Haiti,64.001
Honduras,75.27
"Hong Kong SAR, China",85.07804878
Hungary,76.02195122
Iceland,82.56097561
India,69.656
Indonesia,71.716
"Iran, Islamic Rep.",76.677
Iraq,70.604
Ireland,82.30243902
Israel,82.80487805
Italy,83.19756098
Jamaica,74.475
Japan,84.35634146
Jordan,74.526
Kazakhstan,73.18
Kenya,66.699
Kiribati,68.369
"Korea, Dem. People's Rep.",72.274
"Korea, Rep.",83.22682927
Kuwait,75.489
Kyrgyz Republic,71.6
Lao PDR,67.923
Latvia,75.23902439
Lebanon,78.93
Lesotho,54.331
Liberia,64.104
Libya,72.913
Lithuania,76.13414634
Luxembourg,82.44634146
"Macao SAR, China",84.244
Madagascar,67.041
Malawi,64.263
Malaysia,76.156
Maldives,78.921
Mali,59.306
Malta,82.6
Mauritania,64.925
Mauritius,74.23585366
Mexico,75.054
"Micronesia, Fed. Sts.",67.883
Moldova,71.901
Mongolia,69.87
Montenegro,76.884
Morocco,76.68
Mozambique,60.854
Myanmar,67.134
Namibia,63.708
Nepal,70.778
Netherlands,82.01219512
New Caledonia,77.63414634
New Zealand,81.70731707
Nicaragua,74.485
Niger,62.42
Nigeria,54.687
North Macedonia,75.797
Norway,82.90731707
Oman,77.861
Pakistan,67.273
Panama,78.506
Papua New Guinea,64.501
Paraguay,74.254
Peru,76.736
Philippines,71.231
Poland,77.85609756
Portugal,80.68292683
Puerto Rico,79.9285122
Qatar,80.227
Romania,75.45853659
Russian Federation,73.08390244
Rwanda,69.024
Samoa,73.321
Sao Tome and Principe,70.385
Saudi Arabia,75.133
Senegal,67.941
Sierra Leone,54.696
Singapore,83.49756098
Slovak Republic,77.47073171
Slovenia,81.2804878
Solomon Islands,72.996
Somalia,57.397
South Africa,64.131
South Sudan,57.846
Spain,83.48536585
Sri Lanka,76.978
St. Lucia,76.203
St. Vincent and the Grenadines,72.534
Sudan,65.311
Suriname,71.682
Sweden,82.95853659
Switzerland,83.70487805
Syrian Arab Republic,72.697
Tajikistan,71.097
Tanzania,65.456
Thailand,77.15
Timor-Leste,69.495
Togo,61.042
Tonga,70.907
Trinidad and Tobago,73.507
Tunisia,76.699
Turkey,77.691
Turkmenistan,68.191
Uganda,63.368
Ukraine,71.82731707
United Arab Emirates,77.972
United Kingdom,81.20487805
United States,78.78780488
Uruguay,77.911
Uzbekistan,71.725
Vanuatu,70.474
"Venezuela, RB",72.064
Vietnam,75.4
Virgin Islands (U.S.),79.66829268
"Yemen, Rep.",66.125
Zambia,63.886
Zimbabwe,61.49
