y,x,x1,x2,x3,x4,x5,x6,x7,x8
7.9,760505847,237000000,178,723,3054,33000,James Cameron,Action|Adventure|Fantasy|Sci-Fi,Avatar 
7.1,309404152,300000000,169,302,1238,0,Gore Verbinski,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End 
6.8,200074175,245000000,148,602,994,85000,Sam Mendes,Action|Adventure|Thriller,Spectre 
8.5,448130642,250000000,164,813,2701,164000,Christopher Nolan,Action|Thriller,The Dark Knight Rises 
6.6,73058679,263700000,132,462,738,24000,Andrew Stanton,Action|Adventure|Sci-Fi,John Carter 
6.2,336530303,258000000,156,392,1902,0,Sam Raimi,Action|Adventure|Romance,Spider-Man 3
7.8,200807262,260000000,100,324,387,29000,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled 
7.5,458991599,250000000,141,635,1117,118000,Joss Whedon,Action|Adventure|Sci-Fi,Avengers: Age of Ultron 
7.5,301956980,250000000,153,375,973,10000,David Yates,Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince 
6.9,330249062,250000000,183,673,3018,197000,Zack Snyder,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice 
6.1,200069408,209000000,169,434,2367,0,Bryan Singer,Action|Adventure|Sci-Fi,Superman Returns 
6.7,168368427,200000000,106,403,1243,0,Marc Forster,Action|Adventure,Quantum of Solace 
7.3,423032628,225000000,151,313,1832,5000,Gore Verbinski,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest 
6.5,89289910,215000000,150,450,711,48000,Gore Verbinski,Action|Adventure|Western,The Lone Ranger 
7.2,291021565,225000000,143,733,2536,118000,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,Man of Steel 
6.6,141614023,225000000,150,258,438,0,Andrew Adamson,Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian 
8.1,623279547,220000000,173,703,1722,123000,Joss Whedon,Action|Adventure|Sci-Fi,The Avengers 
6.7,241063875,250000000,136,448,484,58000,Rob Marshall,Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides 
6.8,179020854,225000000,106,451,341,40000,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3
7.5,255108370,250000000,164,422,802,65000,Peter Jackson,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies 
7.0,262030663,230000000,153,599,1225,56000,Marc Webb,Action|Adventure|Fantasy,The Amazing Spider-Man 
6.7,105219735,200000000,156,343,546,17000,Ridley Scott,Action|Adventure|Drama|History,Robin Hood 
7.9,258355354,225000000,186,509,951,83000,Peter Jackson,Adventure|Fantasy,The Hobbit: The Desolation of Smaug 
6.1,70083519,180000000,113,251,666,0,Chris Weitz,Adventure|Family|Fantasy,The Golden Compass 
7.2,218051260,207000000,201,446,2618,0,Peter Jackson,Action|Adventure|Drama|Romance,King Kong 
7.7,658672302,200000000,194,315,2528,26000,James Cameron,Drama|Romance,Titanic 
8.2,407197282,250000000,147,516,1022,72000,Anthony Russo,Action|Adventure|Sci-Fi,Captain America: Civil War 
5.9,65173160,209000000,131,377,751,44000,Peter Berg,Action|Adventure|Sci-Fi|Thriller,Battleship 
7.0,652177271,150000000,124,644,1290,150000,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,Jurassic World 
7.8,304360277,200000000,143,750,1498,80000,Sam Mendes,Action|Adventure|Thriller,Skyfall 
7.3,373377893,200000000,135,300,1303,0,Sam Raimi,Action|Adventure|Fantasy|Romance,Spider-Man 2
7.2,408992272,200000000,195,608,1187,95000,Shane Black,Action|Adventure|Sci-Fi,Iron Man 3
6.5,334185206,200000000,108,451,736,24000,Tim Burton,Adventure|Family|Fantasy,Alice in Wonderland 
6.8,234360014,210000000,104,334,1912,0,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand 
7.3,268488329,200000000,104,376,265,44000,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,Monsters University 
6.0,402076689,200000000,150,366,1439,0,Michael Bay,Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen 
5.7,245428137,210000000,165,378,918,56000,Michael Bay,Action|Adventure|Sci-Fi,Transformers: Age of Extinction 
6.4,234903076,215000000,130,525,511,60000,Sam Raimi,Adventure|Family|Fantasy,Oz the Great and Powerful 
6.7,202853933,200000000,142,495,1067,41000,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2
6.8,172051787,170000000,125,469,665,30000,Joseph Kosinski,Action|Adventure|Sci-Fi,TRON: Legacy 
6.3,191450875,200000000,106,304,283,10000,John Lasseter,Adventure|Animation|Comedy|Family|Sport,Cars 2
5.6,116593191,200000000,123,436,550,24000,Martin Campbell,Action|Adventure|Sci-Fi,Green Lantern 
8.3,414984497,200000000,103,453,733,30000,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3
